AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO
2012,ARSENAL,12,2,6,27,9,28,2,180,ASTON VILLA,5,5,10,31,13,33,2,156,1
2012,BOLTON,6,11,2,24,9,24,3,165,BLACKBURN,2,10,7,43,13,32,0,172,1
2012,CHELSEA,13,4,3,43,18,39,1,180,TOTTENHAM,9,6,5,25,12,32,1,156,0
2012,LIVERPOOL,11,1,8,36,17,28,0,175,WIGAN,4,10,6,36,13,30,0,170,-1
2012,NORWICH,4,3,3,17,7,13,1,70,WOLVES,3,12,5,38,20,28,2,184,1
2012,STOKE,10,3,6,33,14,32,0,98,MAN CITY,7,6,5,23,10,29,3,132,0
2012,SUNDERLAND,4,9,5,27,16,27,2,128,QPR,3,6,1,18,9,17,0,90,1
2012,SWANSEA,4,1,5,12,4,14,0,62,EVERTON,5,9,3,22,11,34,1,132,-1
2012,WEST BROM,6,7,6,25,14,25,1,149,NEWCASTLE,6,7,7,27,10,25,1,128,-1
2012,MAN UNITED,16,2,1,52,23,23,2,206,FULHAM,3,8,9,22,9,29,0,154,1
2012,ASTON VILLA,7,6,5,22,12,25,3,98,CHELSEA,8,5,5,17,12,26,1,113,-1
2012,EVERTON,10,4,5,30,10,28,2,165,WEST BROM,6,7,5,35,21,23,1,132,1
2012,FULHAM,9,4,5,33,13,31,1,171,NORWICH,1,4,4,19,6,12,1,96,1
2012,MAN CITY,17,0,1,49,20,19,1,175,SUNDERLAND,6,9,3,25,10,27,1,148,0
2012,QPR,1,4,4,8,4,12,2,55,ARSENAL,7,6,5,37,15,36,2,116,1
2012,WIGAN,4,7,7,21,8,35,1,140,STOKE,3,13,3,37,21,13,1,138,1
2012,WOLVES,7,7,4,29,14,29,0,131,BOLTON,3,14,1,36,15,21,3,154,-1
2012,NEWCASTLE,7,3,8,33,16,27,1,144,LIVERPOOL,9,8,2,21,8,30,3,137,1
2012,TOTTENHAM,10,1,6,31,16,18,0,183,SWANSEA,0,6,3,19,7,13,1,86,1
2012,BLACKBURN,5,9,4,22,11,39,0,122,MAN UNITED,11,4,5,17,11,31,0,127,-1
2012,SWANSEA,4,1,5,12,4,14,0,62,NEWCASTLE,6,7,7,27,10,25,1,128,-1
2012,BOLTON,6,11,2,24,9,24,3,165,FULHAM,3,8,9,22,9,29,0,154,-1
2012,CHELSEA,13,4,3,43,18,39,1,180,WIGAN,4,10,6,36,13,30,0,170,1
2012,LIVERPOOL,11,1,8,36,17,28,0,175,ASTON VILLA,5,5,10,31,13,33,2,156,0
2012,NORWICH,4,3,3,17,7,13,1,70,EVERTON,5,9,3,22,11,34,1,132,0
2012,STOKE,10,3,6,33,14,32,0,98,WOLVES,3,12,5,38,20,28,2,184,1
2012,SUNDERLAND,4,9,5,27,16,27,2,128,TOTTENHAM,9,6,5,25,12,32,1,156,0
2012,WEST BROM,6,7,6,25,14,25,1,149,BLACKBURN,2,10,7,43,13,32,0,172,1
2012,ARSENAL,12,2,6,27,9,28,2,180,MAN CITY,7,6,5,23,10,29,3,132,1
2012,MAN UNITED,16,2,1,52,23,23,2,206,QPR,3,6,1,18,9,17,0,90,1
2012,ASTON VILLA,7,6,5,22,12,25,3,98,STOKE,3,13,3,37,21,13,1,138,0
2012,EVERTON,10,4,5,30,10,28,2,165,SUNDERLAND,6,9,3,25,10,27,1,148,1
2012,FULHAM,9,4,5,33,13,31,1,171,CHELSEA,8,5,5,17,12,26,1,113,0
2012,NEWCASTLE,7,3,8,33,16,27,1,144,BOLTON,3,14,1,36,15,21,3,154,1
2012,TOTTENHAM,10,1,6,31,16,18,0,183,NORWICH,1,4,4,19,6,12,1,96,-1
2012,BLACKBURN,5,9,4,22,11,39,0,122,LIVERPOOL,9,8,2,21,8,30,3,137,-1
2012,MAN CITY,17,0,1,49,20,19,1,175,WEST BROM,6,7,5,35,21,23,1,132,1
2012,QPR,1,4,4,8,4,12,2,55,SWANSEA,0,6,3,19,7,13,1,86,1
2012,WIGAN,4,7,7,21,8,35,1,140,MAN UNITED,11,4,5,17,11,31,0,127,1
2012,WOLVES,7,7,4,29,14,29,0,131,ARSENAL,7,6,5,37,15,36,2,116,-1
2012,NORWICH,4,3,3,17,7,13,1,70,MAN CITY,7,6,5,23,10,29,3,132,-1
2012,SUNDERLAND,4,9,5,27,16,27,2,128,WOLVES,3,12,5,38,20,28,2,184,0
2012,SWANSEA,4,1,5,12,4,14,0,62,BLACKBURN,2,10,7,43,13,32,0,172,1
2012,WEST BROM,6,7,6,25,14,25,1,149,QPR,3,6,1,18,9,17,0,90,1
2012,MAN UNITED,16,2,1,52,23,23,2,206,ASTON VILLA,5,5,10,31,13,33,2,156,1
2012,ARSENAL,12,2,6,27,9,28,2,180,WIGAN,4,10,6,36,13,30,0,170,-1
2012,ARSENAL,12,2,6,27,9,28,2,180,CHELSEA,8,5,5,17,12,26,1,113,0
2012,ASTON VILLA,7,6,5,22,12,25,3,98,SUNDERLAND,6,9,3,25,10,27,1,148,0
2012,BLACKBURN,5,9,4,22,11,39,0,122,NORWICH,1,4,4,19,6,12,1,96,1
2012,BOLTON,6,11,2,24,9,24,3,165,SWANSEA,0,6,3,19,7,13,1,86,0
2012,FULHAM,9,4,5,33,13,31,1,171,WIGAN,4,10,6,36,13,30,0,170,1
2012,NEWCASTLE,7,3,8,33,16,27,1,144,STOKE,3,13,3,37,21,13,1,138,1
2012,QPR,1,4,4,8,4,12,2,55,TOTTENHAM,9,6,5,25,12,32,1,156,1
2012,LIVERPOOL,11,1,8,36,17,28,0,175,WEST BROM,6,7,5,35,21,23,1,132,-1
2012,MAN UNITED,16,2,1,52,23,23,2,206,EVERTON,5,9,3,22,11,34,1,132,0
2012,WOLVES,7,7,4,29,14,29,0,131,MAN CITY,7,6,5,23,10,29,3,132,-1
2012,ASTON VILLA,7,6,5,22,12,25,3,98,BOLTON,3,14,1,36,15,21,3,154,-1
2012,EVERTON,10,4,5,30,10,28,2,165,FULHAM,3,8,9,22,9,29,0,154,1
2012,NORWICH,4,3,3,17,7,13,1,70,LIVERPOOL,9,8,2,21,8,30,3,137,-1
2012,STOKE,10,3,6,33,14,32,0,98,ARSENAL,7,6,5,37,15,36,2,116,0
2012,SUNDERLAND,4,9,5,27,16,27,2,128,BOLTON,3,14,1,36,15,21,3,154,0
2012,SWANSEA,4,1,5,12,4,14,0,62,WOLVES,3,12,5,38,20,28,2,184,0
2012,WEST BROM,6,7,6,25,14,25,1,149,ASTON VILLA,5,5,10,31,13,33,2,156,0
2012,WIGAN,4,7,7,21,8,35,1,140,NEWCASTLE,6,7,7,27,10,25,1,128,1
2012,CHELSEA,13,4,3,43,18,39,1,180,QPR,3,6,1,18,9,17,0,90,1
2012,TOTTENHAM,10,1,6,31,16,18,0,183,BLACKBURN,2,10,7,43,13,32,0,172,1
2012,MAN CITY,17,0,1,49,20,19,1,175,MAN UNITED,11,4,5,17,11,31,0,127,1
2012,LIVERPOOL,11,1,8,36,17,28,0,175,FULHAM,3,8,9,22,9,29,0,154,-1
2012,STOKE,10,3,6,33,14,32,0,98,EVERTON,5,9,3,22,11,34,1,132,0
2012,BOLTON,6,11,2,24,9,24,3,165,TOTTENHAM,9,6,5,25,12,32,1,156,-1
2012,CHELSEA,13,4,3,43,18,39,1,180,NEWCASTLE,6,7,7,27,10,25,1,128,-1
2012,ARSENAL,12,2,6,27,9,28,2,180,NORWICH,1,4,4,19,6,12,1,96,0
2012,ASTON VILLA,7,6,5,22,12,25,3,98,TOTTENHAM,9,6,5,25,12,32,1,156,0
2012,BOLTON,6,11,2,24,9,24,3,165,WEST BROM,6,7,5,35,21,23,1,132,0
2012,FULHAM,9,4,5,33,13,31,1,171,SUNDERLAND,6,9,3,25,10,27,1,148,1
2012,MAN UNITED,16,2,1,52,23,23,2,206,SWANSEA,0,6,3,19,7,13,1,86,1
2012,NEWCASTLE,7,3,8,33,16,27,1,144,MAN CITY,7,6,5,23,10,29,3,132,-1
2012,QPR,1,4,4,8,4,12,2,55,STOKE,3,13,3,37,21,13,1,138,1
2012,WOLVES,7,7,4,29,14,29,0,131,EVERTON,5,9,3,22,11,34,1,132,0
2012,BLACKBURN,5,9,4,22,11,39,0,122,WIGAN,4,10,6,36,13,30,0,170,-1
2012,LIVERPOOL,11,1,8,36,17,28,0,175,CHELSEA,8,5,5,17,12,26,1,113,1
2012,CHELSEA,13,4,3,43,18,39,1,180,BLACKBURN,2,10,7,43,13,32,0,172,1
2012,EVERTON,10,4,5,30,10,28,2,165,NEWCASTLE,6,7,7,27,10,25,1,128,1
2012,MAN CITY,17,0,1,49,20,19,1,175,QPR,3,6,1,18,9,17,0,90,1
2012,NORWICH,4,3,3,17,7,13,1,70,ASTON VILLA,5,5,10,31,13,33,2,156,1
2012,STOKE,10,3,6,33,14,32,0,98,BOLTON,3,14,1,36,15,21,3,154,0
2012,SUNDERLAND,4,9,5,27,16,27,2,128,MAN UNITED,11,4,5,17,11,31,0,127,-1
2012,SWANSEA,4,1,5,12,4,14,0,62,LIVERPOOL,9,8,2,21,8,30,3,137,1
2012,TOTTENHAM,10,1,6,31,16,18,0,183,FULHAM,3,8,9,22,9,29,0,154,1
2012,WEST BROM,6,7,6,25,14,25,1,149,ARSENAL,7,6,5,37,15,36,2,116,-1
2012,WIGAN,4,7,7,21,8,35,1,140,WOLVES,3,12,5,38,20,28,2,184,1
