AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO
2007,MAN CITY,8,7,4,21,13,22,1,115,MAN UNITED,13,4,2,21,10,35,0,81,1
2007,ARSENAL,11,1,8,52,21,24,0,189,MAN CITY,4,15,1,32,20,20,1,152,1
2007,ASTON VILLA,7,6,6,21,12,26,0,105,FULHAM,2,10,7,43,25,24,0,142,1
2007,BOLTON,13,5,4,37,20,31,1,133,READING,3,6,2,17,7,13,1,82,1
2007,CHELSEA,14,0,5,39,19,27,3,141,PORTSMOUTH,6,11,3,32,14,22,2,152,1
2007,EVERTON,12,3,6,35,20,32,1,126,BLACKBURN,5,9,3,26,13,33,1,120,0
2007,SUNDERLAND,1,6,1,5,3,17,0,45,LIVERPOOL,9,10,3,25,12,31,3,92,-1
2007,WEST HAM,10,8,3,26,9,32,1,120,WIGAN,6,9,5,30,12,23,0,122,0
2007,MAN UNITED,16,1,3,43,25,23,0,177,TOTTENHAM,4,11,5,29,16,25,1,120,1
2007,MIDDLESBROUGH,9,7,2,23,8,22,0,110,NEWCASTLE,5,11,3,27,14,31,1,149,0
2007,BOLTON,13,5,4,37,20,31,1,133,EVERTON,4,7,7,23,10,27,3,126,-1
2007,FULHAM,13,5,2,25,13,25,2,101,TOTTENHAM,4,11,5,29,16,25,1,120,0
2007,MAN UNITED,16,1,3,43,25,23,0,177,SUNDERLAND,1,8,2,17,8,12,0,91,1
2007,MIDDLESBROUGH,9,7,2,23,8,22,0,110,BIRMINGHAM,0,6,3,15,6,4,0,61,1
2007,NEWCASTLE,12,5,4,34,19,29,3,158,WIGAN,6,9,5,30,12,23,0,122,1
2007,READING,5,4,1,12,8,6,1,41,WEST HAM,4,12,2,31,16,21,1,136,-1
2007,ARSENAL,11,1,8,52,21,24,0,189,PORTSMOUTH,6,11,3,32,14,22,2,152,1
2007,ASTON VILLA,7,6,6,21,12,26,0,105,CHELSEA,11,6,3,19,9,37,3,67,1
2007,BLACKBURN,13,5,4,32,18,45,4,104,MAN CITY,4,15,1,32,20,20,1,152,1
2007,BIRMINGHAM,5,2,3,12,6,16,1,41,BOLTON,5,8,6,20,8,24,2,96,1
2007,CHELSEA,14,0,5,39,19,27,3,141,BLACKBURN,5,9,3,26,13,33,1,120,0
2007,EVERTON,12,3,6,35,20,32,1,126,MAN UNITED,13,4,2,21,10,35,0,81,-1
2007,PORTSMOUTH,10,4,5,30,7,20,1,159,LIVERPOOL,9,10,3,25,12,31,3,92,0
2007,SUNDERLAND,1,6,1,5,3,17,0,45,READING,3,6,2,17,7,13,1,82,1
2007,TOTTENHAM,13,3,3,33,16,19,1,151,ARSENAL,9,9,2,18,11,43,1,106,-1
2007,WEST HAM,10,8,3,26,9,32,1,120,MIDDLESBROUGH,3,12,7,33,16,20,3,149,1
2007,WIGAN,4,10,4,20,12,30,2,109,FULHAM,2,10,7,43,25,24,0,142,0
