AÑO,LOCAL_EQUIPO,LOCAL_VICTORIAS, LOCAL_DERROTAS, LOCAL_EMPATES, LOCAL_GOL,LOCAL_GOL_HT  ,LOCAL_AMARILLA ,LOCAL_ROJA,LOCAL_TIRO_ARCO,VISITA_EQUIPO,VISITA_VICTORIAS, VISITA_DERROTAS, VISITA_EMPATES, VISITA_GOL,VISITA_GOL_HT  ,VISITA_AMARILLA ,VISITA_ROJA,VISITA_TIRO_ARCO
2008,MAN UNITED,15,1,2,42,19,24,0,208,BOLTON,2,14,3,47,29,17,1,140,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,CHELSEA,11,4,4,11,8,39,1,108,0
2008,ASTON VILLA,8,5,6,22,8,35,2,111,SUNDERLAND,0,8,2,26,10,8,0,70,-1
2008,BLACKBURN,8,7,3,28,13,32,5,121,WIGAN,2,13,4,39,13,30,0,127,1
2008,BOLTON,6,5,7,24,10,30,0,127,MAN CITY,4,7,6,24,11,27,2,114,0
2008,EVERTON,11,5,2,37,14,19,3,132,WEST HAM,9,7,2,23,14,34,1,110,0
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,DERBY,0,8,2,26,11,8,1,92,1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,FULHAM,0,12,6,37,14,19,3,132,1
2008,READING,12,5,2,31,12,25,1,124,BIRMINGHAM,2,7,1,19,8,13,1,72,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,CHELSEA,11,0,7,37,15,26,3,141,ARSENAL,7,3,8,17,8,39,2,91,1
2008,MAN UNITED,15,1,2,42,19,24,0,208,LIVERPOOL,9,4,5,13,5,25,3,67,1
2008,BIRMINGHAM,3,4,3,12,6,18,0,61,MAN CITY,4,7,6,24,11,27,2,114,1
2008,BOLTON,6,5,7,24,10,30,0,127,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,DERBY,1,7,2,7,4,11,0,50,FULHAM,0,12,6,37,14,19,3,132,0
2008,MAN UNITED,15,1,2,42,19,24,0,208,ASTON VILLA,7,4,7,26,15,27,3,126,1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,WIGAN,2,13,4,39,13,30,0,127,1
2008,READING,12,5,2,31,12,25,1,124,BLACKBURN,8,6,6,29,13,28,0,163,0
2008,SUNDERLAND,4,3,3,11,4,12,1,64,WEST HAM,9,7,2,23,14,34,1,110,1
2008,CHELSEA,11,0,7,37,15,26,3,141,MIDDLESBROUGH,5,9,5,27,13,19,0,146,1
2008,LIVERPOOL,10,2,6,39,16,15,0,150,EVERTON,6,6,7,18,7,33,0,128,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,NEWCASTLE,4,11,3,28,7,30,0,133,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,LIVERPOOL,9,4,5,13,5,25,3,67,0
2008,ASTON VILLA,8,5,6,22,8,35,2,111,BOLTON,2,14,3,47,29,17,1,140,1
2008,BLACKBURN,8,7,3,28,13,32,5,121,TOTTENHAM,5,6,8,29,12,35,1,115,0
2008,FULHAM,4,5,10,24,9,26,4,117,SUNDERLAND,0,8,2,26,10,8,0,70,-1
2008,MAN CITY,10,6,4,21,10,26,0,118,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,READING,2,10,6,39,15,19,1,162,1
2008,WIGAN,6,9,4,19,10,31,1,98,BIRMINGHAM,2,7,1,19,8,13,1,72,1
2008,EVERTON,11,5,2,37,14,19,3,132,DERBY,0,8,2,26,11,8,1,92,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,MAN UNITED,10,5,4,17,7,39,3,112,0
2008,WEST HAM,6,7,5,26,14,41,1,117,PORTSMOUTH,6,7,5,25,12,21,1,112,-1
2008,BIRMINGHAM,3,4,3,12,6,18,0,61,EVERTON,6,6,7,18,7,33,0,128,0
2008,BOLTON,6,5,7,24,10,30,0,127,WEST HAM,9,7,2,23,14,34,1,110,1
2008,DERBY,1,7,2,7,4,11,0,50,ASTON VILLA,7,4,7,26,15,27,3,126,-1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,NEWCASTLE,4,11,3,28,7,30,0,133,0
2008,READING,12,5,2,31,12,25,1,124,FULHAM,0,12,6,37,14,19,3,132,-1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,MAN CITY,4,7,6,24,11,27,2,114,-1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,MIDDLESBROUGH,5,9,5,27,13,19,0,146,0
2008,LIVERPOOL,10,2,6,39,16,15,0,150,BLACKBURN,8,6,6,29,13,28,0,163,1
2008,MAN UNITED,15,1,2,42,19,24,0,208,ARSENAL,7,3,8,17,8,39,2,91,1
2008,CHELSEA,11,0,7,37,15,26,3,141,WIGAN,2,13,4,39,13,30,0,127,0
2008,EVERTON,11,5,2,37,14,19,3,132,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,READING,2,10,6,39,15,19,1,162,1
2008,BLACKBURN,8,7,3,28,13,32,5,121,MAN UNITED,10,5,4,17,7,39,3,112,0
2008,FULHAM,4,5,10,24,9,26,4,117,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,BOLTON,2,14,3,47,29,17,1,140,-1
2008,WEST HAM,6,7,5,26,14,41,1,117,DERBY,0,8,2,26,11,8,1,92,1
2008,WIGAN,6,9,4,19,10,31,1,98,TOTTENHAM,5,6,8,29,12,35,1,115,0
2008,ASTON VILLA,8,5,6,22,8,35,2,111,BIRMINGHAM,2,7,1,19,8,13,1,72,1
2008,MAN CITY,10,6,4,21,10,26,0,118,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,SUNDERLAND,0,8,2,26,10,8,0,70,1
2008,BIRMINGHAM,3,4,3,12,6,18,0,61,LIVERPOOL,9,4,5,13,5,25,3,67,0
2008,CHELSEA,11,0,7,37,15,26,3,141,MAN UNITED,10,5,4,17,7,39,3,112,1
2008,MAN CITY,10,6,4,21,10,26,0,118,FULHAM,0,12,6,37,14,19,3,132,-1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,MIDDLESBROUGH,5,9,5,27,13,19,0,146,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,BOLTON,2,14,3,47,29,17,1,140,0
2008,WEST HAM,6,7,5,26,14,41,1,117,NEWCASTLE,4,11,3,28,7,30,0,133,0
2008,WIGAN,6,9,4,19,10,31,1,98,READING,2,10,6,39,15,19,1,162,0
2008,EVERTON,11,5,2,37,14,19,3,132,ASTON VILLA,7,4,7,26,15,27,3,126,0
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,BLACKBURN,8,6,6,29,13,28,0,163,-1
2008,DERBY,1,7,2,7,4,11,0,50,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,ASTON VILLA,8,5,6,22,8,35,2,111,WIGAN,2,13,4,39,13,30,0,127,-1
2008,BLACKBURN,8,7,3,28,13,32,5,121,DERBY,0,8,2,26,11,8,1,92,1
2008,BOLTON,6,5,7,24,10,30,0,127,SUNDERLAND,0,8,2,26,10,8,0,70,1
2008,FULHAM,4,5,10,24,9,26,4,117,BIRMINGHAM,2,7,1,19,8,13,1,72,1
2008,MAN UNITED,15,1,2,42,19,24,0,208,WEST HAM,9,7,2,23,14,34,1,110,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,READING,12,5,2,31,12,25,1,124,TOTTENHAM,5,6,8,29,12,35,1,115,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,EVERTON,6,6,7,18,7,33,0,128,1
2008,LIVERPOOL,10,2,6,39,16,15,0,150,MAN CITY,4,7,6,24,11,27,2,114,1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,BIRMINGHAM,3,4,3,12,6,18,0,61,BLACKBURN,8,6,6,29,13,28,0,163,1
2008,CHELSEA,11,0,7,37,15,26,3,141,BOLTON,2,14,3,47,29,17,1,140,0
2008,DERBY,1,7,2,7,4,11,0,50,READING,2,10,6,39,15,19,1,162,-1
2008,EVERTON,11,5,2,37,14,19,3,132,NEWCASTLE,4,11,3,28,7,30,0,133,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,MAN CITY,4,7,6,24,11,27,2,114,1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,FULHAM,0,12,6,37,14,19,3,132,-1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,WEST HAM,6,7,5,26,14,41,1,117,ASTON VILLA,7,4,7,26,15,27,3,126,0
2008,WIGAN,6,9,4,19,10,31,1,98,MAN UNITED,10,5,4,17,7,39,3,112,-1
2008,EVERTON,11,5,2,37,14,19,3,132,BLACKBURN,8,6,6,29,13,28,0,163,-1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,TOTTENHAM,5,6,8,29,12,35,1,115,1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,WEST HAM,6,7,5,26,14,41,1,117,WIGAN,2,13,4,39,13,30,0,127,1
2008,ASTON VILLA,8,5,6,22,8,35,2,111,MAN CITY,4,7,6,24,11,27,2,114,1
2008,CHELSEA,11,0,7,37,15,26,3,141,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,MAN UNITED,15,1,2,42,19,24,0,208,NEWCASTLE,4,11,3,28,7,30,0,133,0
2008,FULHAM,4,5,10,24,9,26,4,117,ARSENAL,7,3,8,17,8,39,2,91,1
2008,LIVERPOOL,10,2,6,39,16,15,0,150,MIDDLESBROUGH,5,9,5,27,13,19,0,146,1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,BOLTON,2,14,3,47,29,17,1,140,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,SUNDERLAND,0,8,2,26,10,8,0,70,-1
2008,MAN CITY,10,6,4,21,10,26,0,118,WEST HAM,9,7,2,23,14,34,1,110,1
2008,WIGAN,6,9,4,19,10,31,1,98,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,MAN UNITED,10,5,4,17,7,39,3,112,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,NEWCASTLE,4,11,3,28,7,30,0,133,1
2008,EVERTON,11,5,2,37,14,19,3,132,PORTSMOUTH,6,7,5,25,12,21,1,112,-1
2008,WEST HAM,6,7,5,26,14,41,1,117,BLACKBURN,8,6,6,29,13,28,0,163,1
2008,ASTON VILLA,8,5,6,22,8,35,2,111,LIVERPOOL,9,4,5,13,5,25,3,67,0
2008,CHELSEA,11,0,7,37,15,26,3,141,TOTTENHAM,5,6,8,29,12,35,1,115,0
2008,SUNDERLAND,4,3,3,11,4,12,1,64,MAN CITY,4,7,6,24,11,27,2,114,-1
2008,BLACKBURN,8,7,3,28,13,32,5,121,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,FULHAM,4,5,10,24,9,26,4,117,BOLTON,2,14,3,47,29,17,1,140,1
2008,LIVERPOOL,10,2,6,39,16,15,0,150,MAN UNITED,10,5,4,17,7,39,3,112,1
2008,MAN CITY,10,6,4,21,10,26,0,118,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,MIDDLESBROUGH,5,9,5,27,13,19,0,146,1
2008,WIGAN,6,9,4,19,10,31,1,98,SUNDERLAND,0,8,2,26,10,8,0,70,0
2008,TOTTENHAM,9,6,3,45,22,20,2,153,ASTON VILLA,7,4,7,26,15,27,3,126,-1
2008,BLACKBURN,8,7,3,28,13,32,5,121,FULHAM,0,12,6,37,14,19,3,132,1
2008,BOLTON,6,5,7,24,10,30,0,127,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,MIDDLESBROUGH,5,9,5,27,13,19,0,146,1
2008,WEST HAM,6,7,5,26,14,41,1,117,NEWCASTLE,4,11,3,28,7,30,0,133,1
2008,CHELSEA,11,0,7,37,15,26,3,141,MAN UNITED,10,5,4,17,7,39,3,112,0
2008,MAN CITY,10,6,4,21,10,26,0,118,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,WIGAN,2,13,4,39,13,30,0,127,0
2008,ASTON VILLA,8,5,6,22,8,35,2,111,SUNDERLAND,0,8,2,26,10,8,0,70,1
2008,EVERTON,11,5,2,37,14,19,3,132,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,FULHAM,4,5,10,24,9,26,4,117,WEST HAM,9,7,2,23,14,34,1,110,-1
2008,MAN UNITED,15,1,2,42,19,24,0,208,BOLTON,2,14,3,47,29,17,1,140,1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,BLACKBURN,8,6,6,29,13,28,0,163,-1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,TOTTENHAM,5,6,8,29,12,35,1,115,1
2008,WIGAN,6,9,4,19,10,31,1,98,MAN CITY,4,7,6,24,11,27,2,114,1
2008,BLACKBURN,8,7,3,28,13,32,5,121,MAN UNITED,10,5,4,17,7,39,3,112,-1
2008,SUNDERLAND,4,3,3,11,4,12,1,64,ARSENAL,7,3,8,17,8,39,2,91,0
2008,WIGAN,6,9,4,19,10,31,1,98,MIDDLESBROUGH,5,9,5,27,13,19,0,146,-1
2008,CHELSEA,11,0,7,37,15,26,3,141,ASTON VILLA,7,4,7,26,15,27,3,126,1
2008,EVERTON,11,5,2,37,14,19,3,132,NEWCASTLE,4,11,3,28,7,30,0,133,0
2008,MAN CITY,10,6,4,21,10,26,0,118,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,WEST HAM,6,7,5,26,14,41,1,117,BOLTON,2,14,3,47,29,17,1,140,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,EVERTON,6,6,7,18,7,33,0,128,1
2008,ASTON VILLA,8,5,6,22,8,35,2,111,PORTSMOUTH,6,7,5,25,12,21,1,112,0
2008,BOLTON,6,5,7,24,10,30,0,127,BLACKBURN,8,6,6,29,13,28,0,163,0
2008,FULHAM,4,5,10,24,9,26,4,117,SUNDERLAND,0,8,2,26,10,8,0,70,0
2008,LIVERPOOL,10,2,6,39,16,15,0,150,WIGAN,2,13,4,39,13,30,0,127,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,CHELSEA,11,4,4,11,8,39,1,108,-1
2008,NEWCASTLE,7,4,8,25,12,27,0,119,MAN CITY,4,7,6,24,11,27,2,114,0
2008,BLACKBURN,8,7,3,28,13,32,5,121,MIDDLESBROUGH,5,9,5,27,13,19,0,146,0
2008,EVERTON,11,5,2,37,14,19,3,132,MAN UNITED,10,5,4,17,7,39,3,112,0
2008,SUNDERLAND,4,3,3,11,4,12,1,64,NEWCASTLE,4,11,3,28,7,30,0,133,1
2008,CHELSEA,11,0,7,37,15,26,3,141,LIVERPOOL,9,4,5,13,5,25,3,67,-1
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,FULHAM,0,12,6,37,14,19,3,132,0
2008,TOTTENHAM,9,6,3,45,22,20,2,153,BOLTON,2,14,3,47,29,17,1,140,1
2008,WEST HAM,6,7,5,26,14,41,1,117,ARSENAL,7,3,8,17,8,39,2,91,-1
2008,WIGAN,6,9,4,19,10,31,1,98,ASTON VILLA,7,4,7,26,15,27,3,126,-1
2008,ARSENAL,16,1,2,42,13,25,1,155,TOTTENHAM,5,6,8,29,12,35,1,115,0
2008,ASTON VILLA,8,5,6,22,8,35,2,111,BLACKBURN,8,6,6,29,13,28,0,163,1
2008,BOLTON,6,5,7,24,10,30,0,127,EVERTON,6,6,7,18,7,33,0,128,-1
2008,FULHAM,4,5,10,24,9,26,4,117,WIGAN,2,13,4,39,13,30,0,127,1
2008,LIVERPOOL,10,2,6,39,16,15,0,150,PORTSMOUTH,6,7,5,25,12,21,1,112,1
2008,MAN UNITED,15,1,2,42,19,24,0,208,WEST HAM,9,7,2,23,14,34,1,110,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,MAN CITY,4,7,6,24,11,27,2,114,1
2008,CHELSEA,11,0,7,37,15,26,3,141,SUNDERLAND,0,8,2,26,10,8,0,70,1
2008,EVERTON,11,5,2,37,14,19,3,132,FULHAM,0,12,6,37,14,19,3,132,1
2008,MIDDLESBROUGH,7,7,4,32,18,32,0,110,WEST HAM,9,7,2,23,14,34,1,110,0
2008,PORTSMOUTH,6,4,9,20,10,26,1,130,WIGAN,2,13,4,39,13,30,0,127,-1
2008,TOTTENHAM,9,6,3,45,22,20,2,153,LIVERPOOL,9,4,5,13,5,25,3,67,1
